SSIM (precise)_YYUV
container_cif_h264_300_20.yuv
Video6.yuv
AVG: 0.73270
0.82702
0.82893
0.82791
0.82645
0.82004
0.82054
0.82173
0.82265
0.82233
0.82026
0.82759
0.82747
0.83049
0.83304
0.83272
0.83202
0.84139
0.84588
0.84875
0.85169
0.87576
0.88998
0.88984
0.88931
0.87035
0.87881
0.88377
0.89993
0.90946
0.91417
0.90257
0.89995
0.89564
0.87461
0.88039
0.88140
0.87778
0.87316
0.86900
0.86976
0.83433
0.83520
0.82712
0.82086
0.81564
0.80790
0.80258
0.80141
0.79535
0.79226
0.80777
0.80846
0.80701
0.80589
0.80440
0.80107
0.80615
0.80460
0.80130
0.80056
0.79177
0.79493
0.79332
0.79005
0.78863
0.78350
0.78035
0.77515
0.76979
0.76580
0.76294
0.75605
0.75310
0.75984
0.75509
0.74950
0.76442
0.76205
0.76067
0.76076
0.75402
0.75776
0.75865
0.75567
0.76282
0.76156
0.75895
0.76599
0.76388
0.76090
0.76326
0.76122
0.75933
0.76238
0.76152
0.75876
0.75955
0.75689
0.75526
0.75537
0.73034
0.75916
0.75781
0.75521
0.74970
0.73845
0.74434
0.74629
0.74055
0.73910
0.74146
0.73877
0.73587
0.73919
0.73617
0.73301
0.73367
0.72706
0.72306
0.72310
0.70128
0.70514
0.70568
0.70059
0.70606
0.70272
0.69967
0.70633
0.70049
0.69864
0.70009
0.69615
0.69313
0.70162
0.69809
0.69339
0.69719
0.69448
0.69222
0.69203
0.67149
0.67584
0.67428
0.67266
0.68206
0.68351
0.68204
0.69769
0.69932
0.69902
0.71630
0.72276
0.72367
0.74051
0.74861
0.69910
0.69598
0.69426
0.77857
0.77975
0.67451
0.68161
0.68184
0.67670
0.69061
0.68820
0.68608
0.69428
0.69325
0.68920
0.70172
0.70070
0.69728
0.70295
0.70140
0.69905
0.70290
0.70093
0.69627
0.69640
0.67656
0.68233
0.68580
0.68162
0.69661
0.69271
0.68951
0.69479
0.69024
0.68614
0.68541
0.68388
0.67936
0.68481
0.68169
0.67801
0.68525
0.68352
0.67770
0.67749
0.65637
0.66322
0.66459
0.66209
0.67417
0.67360
0.67267
0.68492
0.68694
0.68383
0.70324
0.70234
0.70230
0.71124
0.71530
0.71690
0.73103
0.73583
0.73285
0.73339
0.71581
0.72479
0.72543
0.72406
0.72218
0.71707
0.71337
0.70468
0.69822
0.69494
0.69401
0.68858
0.68341
0.68136
0.67757
0.67306
0.66954
0.66747
0.66498
0.66421
0.63893
0.64074
0.64149
0.63805
0.64657
0.64409
0.64125
0.64306
0.64068
0.63802
0.64469
0.64128
0.63859
0.64197
0.64330
0.64454
0.65033
0.64760
0.65053
0.65123
0.63538
0.63850
0.64054
0.63987
0.65277
0.65122
0.64519
0.64596
0.64323
0.63971
0.64381
0.64600
0.64032
0.64104
0.64152
0.64397
0.65063
0.64974
0.64925
0.64892
